"","city","city_eng","province","year","cityid","abv_prov","resid_price","resid_area","housing_price","CPI","nmzrk","each_salary","houseinvest_re","ind_area"
"80","丹东市","Dandong","辽宁省",2008,2106,0,192.1432,351.5979,2502,203.706146240234,76.88,21528.8,497621,305.5394
"81","丹东市","Dandong","辽宁省",2009,2106,0,400.4096,201.7733,3029,228.354598999023,78.93,23342.6,760671,341.0216
"82","丹东市","Dandong","辽宁省",2010,2106,0,807.4189,363.6913,2955.29010239,258.497406005859,78.83,25866.2,964923,325.6277
"83","丹东市","Dandong","辽宁省",2011,2106,0,1003.465,289.9107,3239.552239,310.507354736328,78.8,27051.7,1300000,411.8955
"84","丹东市","Dandong","辽宁省",2012,2106,0,1782.385,201.0473,3495.49417473,342.800079345703,78.6,28626.6,1500000,195.5695
"85","丽水市","Lishui","浙江省",2007,3311,0,9046.264,9.5475,4731,214.42951965332,38,31445.3,398902,56.192
"86","丽水市","Lishui","浙江省",2008,3311,0,14562.46,5.8148,5289,227.509735107422,38.27,36241.8,297403,10.0929
"87","丽水市","Lishui","浙江省",2009,3311,0,3902.115,127.9238,6080,254.810882568359,38.46,41141.1,298707,259.5874
"88","丽水市","Lishui","浙江省",2010,3311,0,1592.345,378.8784,6546.57534247,275.195770263672,38.68,44975.9,349152,608.8174
"89","丽水市","Lishui","浙江省",2011,3311,0,2397.274,319.605,7384.751515,321.462219238281,29,49070.7,411333,723.4715
"90","丽水市","Lishui","浙江省",2012,3311,0,5256.652,32.5724,9231.44460028,340.749969482422,39.3,56609.1,625032,222.5212
"91","丽江市","Lijiang","云南省",2007,5307,0,471.7303,0.7623,2086,128.184585571289,15.3,20986.4,85837,611.026632105263
"92","丽江市","Lijiang","云南省",2008,5307,0,433.2438,53.8294,2689.17863022024,134.465621948242,15.33,24055.9,95109,611.026632105263
"93","丽江市","Lijiang","云南省",2009,5307,0,188.9636,129.386,2427,150.467025756836,15.33,26782.7,165057,611.026632105263
"94","丽江市","Lijiang","云南省",2010,5307,0,109.4896,132.9944,2310.22727273,168.974472045898,15.23,29440.1,188300,39.8946
"95","丽江市","Lijiang","云南省",2011,5307,0,418.533,193.8401,2619.047619,205.375457763672,15.3,31467.7,272934,20.3699
"96","丽江市","Lijiang","云南省",2012,5307,0,479.7032,64.76073,3087.64940239,233.511901855469,15.1,35126.7,435538,11.501
"97","乌兰察布市","Ulanqab","内蒙古自治区",2007,1509,0,88.64698,314.2917,1427,215.311431884766,29.89,20229.1,169859,125.9957
"98","乌兰察布市","Ulanqab","内蒙古自治区",2008,1509,0,93.90694,184.9895,1362,238.34977722168,30.18,25132.3,217651,178.7078
"99","乌兰察布市","Ulanqab","内蒙古自治区",2009,1509,0,230.7581,224.7555,1651,274.102233886719,30.37,28948.8,209967,529.5402
"100","乌兰察布市","Ulanqab","内蒙古自治区",2010,1509,0,255.8284,164.3589,1690.38208169,304.527557373047,30.45,30988.2,330743,481.7077
"101","乌兰察布市","Ulanqab","内蒙古自治区",2011,1509,0,375.7686,489.9251,2305.852125,369.718994140625,30.3,35469.9,458375,1204.439
"102","乌兰察布市","Ulanqab","内蒙古自治区",2012,1509,0,524.1874,263.8911,2428.06436346,412.976135253906,32.2,41329.2,242337,605.4007
"103","乌海市","Wuhai","内蒙古自治区",2007,1503,0,401.1836,383.2087,1939,215.311431884766,47.7,22378.7,164700,190.3392
"104","乌海市","Wuhai","内蒙古自治区",2008,1503,0,441.1932,8.5951,1900,238.34977722168,48.27,27289.9,250100,232.1614
"105","乌海市","Wuhai","内蒙古自治区",2009,1503,0,154.1741,5.0973,1988,274.102233886719,48.06,35590.4,182237,188.9146
"106","乌海市","Wuhai","内蒙古自治区",2010,1503,0,631.2545,171.9263,2981.43236074,304.527557373047,53,39853.1,242374,476.7353
"107","乌海市","Wuhai","内蒙古自治区",2011,1503,0,718.7827,132.7335,3529.957397,369.718994140625,54.1,42941.9,418414,524.375
"108","乌海市","Wuhai","内蒙古自治区",2012,1503,0,897.3965,11.34007,3844.15260162,412.976135253906,54.8,51471.4,282044,253.424
"109","乌鲁木齐市","Urumichi","新疆维吾尔自治区",2007,6501,1,433.529,267.3137,2528.46949239,165.085174560547,128.547272727273,29110.2,677793,205.0995
"110","乌鲁木齐市","Urumichi","新疆维吾尔自治区",2008,6501,1,620.3827,377.5322,3031,174.825210571289,226.94,33340.6,909600,260.1929
"111","乌鲁木齐市","Urumichi","新疆维吾尔自治区",2009,6501,1,4276.492,475.3978,3285,188.811218261719,231.88,36500.4,820000,340.1709
"112","乌鲁木齐市","Urumichi","新疆维吾尔自治区",2010,6501,1,1023.358,666.1204,4181.48571429,217.888137817383,233.58,40648.8,1200000,205.0041
